Name,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Number of google review in lakhs
Barsana Mandir,1.0,4.8,0,Yes,0.1
Tiger Hill,1.0,4.5,0,No,0.025
Jaldapara National Park,3.0,4.4,250,Yes,0.035
Sundarbans National Park,4.0,4.4,60,No,0.065
Digha Beach,1.5,4.5,0,No,0.09
Hazarduari Palace,1.5,4.5,10,Yes,0.18
Kankalitala Temple,0.5,4.7,0,Yes,0.045
Hangseswari Temple,0.5,4.6,0,Yes,0.07
Gorumara National Park,3.0,4.4,100,Yes,0.07
Cooch Behar Palace,1.0,4.5,20,Yes,0.09
Ayodhya Hills,2.5,4.5,0,No,0.15
Jagannath Temple,2.0,4.7,0,Yes,1.0
Sun Temple,1.5,4.7,40,Yes,0.83
Lingaraj Temple,1.0,4.6,0,Yes,0.35
Khandadhar Waterfall,1.5,4.5,0,No,1.2
Barabati Fort,1.0,4.5,0,Yes,0.13
Hirakud Dam,1.0,4.5,0,No,0.01
Chilika Lake,2.0,3.9,0,Yes,0.1
Tara Tarini Temple,1.0,4.6,0,Yes,0.01
Badaghagara Waterfall,1.0,4.3,0,No,0.018
Chandipur Beach,1.5,4.2,0,Yes,0.014
Sanaghagara Waterfall,1.0,4.4,0,No,0.055
Marina Beach,1.5,3.9,0,Yes,0.1
Meenakshi Amman Temple,2.0,4.7,0,Yes,0.65
Ramanathaswamy Temple,1.5,4.6,0,No,0.01
Vivekananda Rock Memorial,1.0,4.6,20,Yes,0.47
Ooty Lake,1.0,4.1,10,Yes,0.61
Marudamalai Temple,1.0,4.7,0,Yes,0.3
Kodaikanal Lake,2.0,3.9,0,No,0.1
Brihadeeswarar Temple,1.5,4.8,0,Yes,0.35
Shore Temple,1.0,4.6,40,Yes,0.09
Yercaud Lake,1.0,4.2,0,No,0.019
Nellaiappar Temple,1.0,4.6,0,Yes,0.16
Nataraja Temple,1.0,4.7,0,Yes,0.28
Kanaka Durga Temple,1.0,4.7,0,Yes,0.44
Rishikonda Beach,1.5,4.5,0,Yes,0.39
Mallikarjuna Swamy Temple,1.0,4.7,0,No,0.49
Papikondalu,2.0,4.3,0,Yes,0.032
Lepakshi,1.5,4.6,0,No,0.075
Belum Caves,1.5,4.4,65,Yes,0.11
Amaravathi Temple,1.0,4.7,0,Yes,0.041
Uppalapadu Bird Sanctuary,1.0,4.4,10,Yes,0.7
Gandikota Fort,1.5,4.5,0,No,0.015
Prasanthi Nilayam,1.0,4.7,0,Yes,0.12
Simhachalam Temple,1.0,4.7,0,Yes,0.59
Kailasagiri,2.0,4.5,0,Yes,0.019
Submarine Museum,1.0,4.6,40,Yes,0.49
Borra Caves,2.0,4.5,60,No,0.31
War Memorial,1.0,4.6,0,Yes,0.059
Indira Gandhi Zoological Park,2.0,4.1,20,Yes,0.25
Matsyadarshini Aquarium,1.0,3.8,20,Yes,0.03
Visakha Museum,1.0,4.3,10,Yes,0.065
Nathula Pass,2.0,4.3,20,Yes,0.15
Pemayangtse Monastery,1.0,4.6,20,No,0.015
Char Dham,2.0,4.7,50,Yes,0.12
Rumtek Monastery,1.0,4.6,10,Yes,0.035
Buddha Park,1.0,4.8,50,Yes,0.1
Baba Harbhajan Singh Temple,1.0,4.7,0,Yes,0.075
Tsomgo Lake,2.0,4.5,0,Yes,0.15
Kamakhya Temple,2.0,4.6,0,Yes,0.21
Kaziranga National Park,3.0,4.5,650,No,0.068
Umananda Island,1.0,4.1,0,Yes,0.01
Sivasagar Sivadol,1.0,4.7,0,No,0.065
Majuli Island,2.0,4.7,0,No,0.01
Manas National Park,3.0,4.6,500,No,0.19
Hayagriva Madhava Temple,1.0,4.5,0,No,0.9
Pobitora Wildlife Sanctuary,2.0,4.4,500,Yes,0.037
Tawang Monastery,2.0,4.7,0,No,0.032
Ujjayanta Palace,1.5,4.5,10,Yes,0.035
Dumboor Lake,1.0,4.5,0,No,0.01
Unakoti Rock Carvings,1.5,4.5,20,No,0.025
Chitrakote Falls,1.5,4.6,0,No,0.19
Dzükou Valley,3.0,4.7,0,No,0.01
Promenade Beach,1.0,4.5,0,Yes,0.09
Auroville,2.0,4.1,0,Yes,0.035
Paradise Beach,1.0,4.5,200,Yes,0.015
Cellular Jail,1.5,4.7,30,Yes,0.12
Radhanagar Beach,1.0,4.8,0,No,0.09
Bharatpur Beach,1.0,4.5,0,No,0.04
Limestone Caves,1.5,4.4,250,No,0.015
Naida Caves,1.0,4.5,0,No,0.6
Diu Fort,1.5,4.6,0,No,1.2
Baba Baidyanath Temple,1.0,4.7,0,Yes,1.8
Pahari Mandir,1.0,4.6,0,Yes,0.13
Mahabodhi Temple,1.5,4.7,0,Yes,0.2
Sanjay Gandhi Biological Park,2.5,4.3,30,Yes,0.5
Takhat Shri Harimandir Ji Patna Sahib,1.0,4.7,0,Yes,0.25
Budhha Smriti Park,1.0,4.4,10,Yes,0.31
Kingdom of Dreams,3.0,4.4,1100,Yes,0.3
Ambience Mall,2.0,4.6,0,Yes,1.2
DLF CyberHub,2.0,4.7,0,Yes,0.71
Gurudwara Bangla Sahib,1.0,4.8,0,Yes,1.05
Kedarnath,1.5,4.8,0,No,2.0
DLF Mall of India,2.0,4.6,0,Yes,1.5
The Grand Venice Mall,2.0,4.2,0,Yes,0.45
Wonderla Amusement Park,4.0,4.5,890,Yes,0.95
Nandankanan Zoological Park,3.0,4.4,50,Yes,0.81
Orion Mall,2.0,4.5,0,Yes,1.8
Inorbit Mall Cyberabad,2.0,4.5,0,Yes,1.2
Jama Masjid,1.0,4.5,0,Yes,0.49
Ramanathaswamy Temple,1.5,4.7,0,Yes,0.1
Buddh International Circuit,2.0,4.6,1500,Yes,7.4
Phoenix Palassio,2.0,4.6,0,Yes,0.35
LuLu International Shopping Mall,3.0,4.6,0,Yes,1.9
Rail Museum,2.0,4.4,50,Yes,0.24
Living Root Bridge,2.0,4.6,0,No,0.06
Akshardham,3.0,4.6,0,Yes,0.18
Agra Fort,2.0,4.5,40,Yes,1.3
Madhya Pradesh Tribal Museum,2.0,4.7,10,Yes,0.15
City Palace,2.0,4.4,200,Yes,0.51
Albert Hall Museum,2.0,4.5,200,Yes,0.63
